QGC WPL 110
#s	fr ac	cmd   	p1			p2       p3				p4			lat			lon			alt			continue
0	1	3	0		0.000000	0.000000	0.000000	0.000000	-35.362881	149.165222	582.000000	1
1	0	3	22		0.000000	0.000000	0.000000	0.000000	-35.362881	149.165222	20.000000	1
2	0	3	115	 	360.0		10.0000 	1.0			1.0			0 			0			0			1
3	0	3	16		0.000000	0.000000	0.000000	0.000000	-35.362612 149.164186	20.000000	1
4	0	3	16		0.000000	0.000000	0.000000	0.000000	-35.363928 149.165718	20.000000	1
5	0	3	16		0.000000	0.000000	0.000000	0.000000	-35.363910 149.162632	20.000000	1
6	0	3	16		0.000000	0.000000	0.000000	0.000000	-35.365215 149.164145	20.000000	1
7	0	3	20		0.000000	0.000000	0.000000	0.000000	-35.363228	149.161896	30.000000	1
8	0	3	21		0.000000	0.000000	0.000000	0.000000	-35.363228	149.161896	0.000000	1

